abbrevation,state,population
AL,Alabama,5.074.296
AK,Alaska,733.583
AZ,Arizona,7.359.197
AR,Arkansas,3.045.637
CA,California,39.029.342
CO,Colorado,5.839.926
CT,Connecticut,3.626.205
DE,Delaware,1.018.396
DC,District of Columbia,671.803
FL,Florida,22.244.823
GA,Georgia,10.912.876
HI,Hawaii,1.440.196
ID,Idaho,1.939.033
IL,Illinois,12.582.032
IN,Indiana,6.833.037
IA,Iowa,3.200.517
KS,Kansas,2.937.150
KY,Kentucky,4.512.310
LA,Louisiana,4.590.241
ME,Maine,1.385.340
MD,Maryland,6.164.660
MA,Massachusetts,6.981.974
MI,Michigan,10.034.113
MN,Minnesota,5.717.184
MS,Mississippi,2.940.057
MO,Missouri,6.177.957
MT,Montana,1.122.867
NE,Nebraska,1.967.923
NV,Nevada,3.177.772
NH,New Hampshire,1.395.231
NJ,New Jersey,9.261.699
NM,New Mexico,2.113.344
NY,New York,19.677.151
NC,North Carolina,10.698.973
ND,North Dakota,779.261
OH,Ohio,11.756.058
OK,Oklahoma,4.019.800
OR,Oregon,4.240.137
PA,Pennsylvania,12.972.008
RI,Rhode Island,1.093.734
SCSouth Carolina,5.282.634
SD,South Dakota,909.824
TN,Tennessee,7.051.339
TX,Texas,30.029.572
UT,Utah,3.380.800
VT,Vermont,647.064
VA,Virginia,8.683.619
WA,Washington,7.785.786
WVWest Virginia,1.775.156
WI,Wisconsin,5.892.539
WY,Wyoming,581.381